CAGDP1 County and MSA gross domestic product (GDP) summary
CAGDP1 County and MSA gross domestic product (GDP) summary
Metropolitan Statistical Area
GeoFips,GeoName,2019
00998,United States (Metropolitan Portion),16934317169
10180,"Abilene, TX (Metropolitan Statistical Area)",6794629
10420,"Akron, OH (Metropolitan Statistical Area)",33843587
10500,"Albany, GA (Metropolitan Statistical Area)",5225312
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",4494651
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",58056308
10740,"Albuquerque, NM (Metropolitan Statistical Area)",39841854
10780,"Alexandria, LA (Metropolitan Statistical Area)",5527609
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",42607944
11020,"Altoona, PA (Metropolitan Statistical Area)",5561747
11100,"Amarillo, TX (Metropolitan Statistical Area)",12977054
11180,"Ames, IA (Metropolitan Statistical Area)",5973064
11260,"Anchorage, AK (Metropolitan Statistical Area)",23695845
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",22967261
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",4139002
11540,"Appleton, WI (Metropolitan Statistical Area)",13391072
11700,"Asheville, NC (Metropolitan Statistical Area)",19351713
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",9267311
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",385448408
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",12451208
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",5600186
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",25185847
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",146516364
12540,"Bakersfield, CA (Metropolitan Statistical Area)",47993863
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",185632374
12620,"Bangor, ME (Metropolitan Statistical Area)",6021102
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",12089470
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",53731952
12980,"Battle Creek, MI (Metropolitan Statistical Area)",5852564
13020,"Bay City, MI (Metropolitan Statistical Area)",3253450
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",25666421
13220,"Beckley, WV (Metropolitan Statistical Area)",3906935
13380,"Bellingham, WA (Metropolitan Statistical Area)",13229471
13460,"Bend, OR (Metropolitan Statistical Area)",9338006
13740,"Billings, MT (Metropolitan Statistical Area)",9743657
13780,"Binghamton, NY (Metropolitan Statistical Area)",10265600
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",56168212
13900,"Bismarck, ND (Metropolitan Statistical Area)",6715953
13980,"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *",6488181
14010,"Bloomington, IL (Metropolitan Statistical Area)",13518228
14020,"Bloomington, IN (Metropolitan Statistical Area)",6738295
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",4146787
14260,"Boise City, ID (Metropolitan Statistical Area)",32869996
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",424318154
14500,"Boulder, CO (Metropolitan Statistical Area) *",27671842
14540,"Bowling Green, KY (Metropolitan Statistical Area)",6696322
14740,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",11142456
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",82355020
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",10072582
