CAGDP1 County and MSA gross domestic product (GDP) summary
CAGDP1 County and MSA gross domestic product (GDP) summary
Metropolitan Statistical Area
17900,"Columbia, SC (Metropolitan Statistical Area)",33114928
17980,"Columbus, GA-AL (Metropolitan Statistical Area)",12870872
18020,"Columbus, IN (Metropolitan Statistical Area)",5286815
18140,"Columbus, OH (Metropolitan Statistical Area)",94509349
18580,"Corpus Christi, TX (Metropolitan Statistical Area)",20667946
18700,"Corvallis, OR (Metropolitan Statistical Area)",3812300
18880,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",10714721
19060,"Cumberland, MD-WV (Metropolitan Statistical Area)",3442707
19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",352860506
19140,"Dalton, GA (Metropolitan Statistical Area)",5721066
19180,"Danville, IL (Metropolitan Statistical Area)",3034548
19300,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",5381575
19340,"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",19257302
19430,"Dayton-Kettering, OH (Metropolitan Statistical Area)",35095174
19460,"Decatur, AL (Metropolitan Statistical Area)",5566129
19500,"Decatur, IL (Metropolitan Statistical Area)",6493232
19660,"Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",16179129
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",147943711
19780,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",36151551
19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",199338084
20020,"Dothan, AL (Metropolitan Statistical Area)",4928718
20100,"Dover, DE (Metropolitan Statistical Area)",6973931
20220,"Dubuque, IA (Metropolitan Statistical Area)",4839884
20260,"Duluth, MN-WI (Metropolitan Statistical Area)",13608904
20500,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)",43526190
20700,"East Stroudsburg, PA (Metropolitan Statistical Area)",6334899
20740,"Eau Claire, WI (Metropolitan Statistical Area)",7009400
20940,"El Centro, CA (Metropolitan Statistical Area)",6782574
21060,"Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",5718216
21140,"Elkhart-Goshen, IN (Metropolitan Statistical Area)",9625052
21300,"Elmira, NY (Metropolitan Statistical Area)",3668364
21340,"El Paso, TX (Metropolitan Statistical Area)",25309049
21420,"Enid, OK (Metropolitan Statistical Area)",2963509
21500,"Erie, PA (Metropolitan Statistical Area)",11497121
21660,"Eugene-Springfield, OR (Metropolitan Statistical Area)",12473651
21780,"Evansville, IN-KY (Metropolitan Statistical Area)",16079195
21820,"Fairbanks, AK (Metropolitan Statistical Area)",6340190
22020,"Fargo, ND-MN (Metropolitan Statistical Area)",10500662
22140,"Farmington, NM (Metropolitan Statistical Area)",6542419
22180,"Fayetteville, NC (Metropolitan Statistical Area)",19592302
22220,"Fayetteville-Springdale-Rogers, AR (Metropolitan Statistical Area)",17703662
22380,"Flagstaff, AZ (Metropolitan Statistical Area)",6124241
22420,"Flint, MI (Metropolitan Statistical Area)",12773105
22500,"Florence, SC (Metropolitan Statistical Area)",7305651
22520,"Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",4714662
22540,"Fond du Lac, WI (Metropolitan Statistical Area)",4100462
22660,"Fort Collins, CO (Metropolitan Statistical Area)",12880541
22900,"Fort Smith, AR-OK (Metropolitan Statistical Area)",8721617
23060,"Fort Wayne, IN (Metropolitan Statistical Area)",16578211
23420,"Fresno, CA (Metropolitan Statistical Area)",34497120
23460,"Gadsden, AL (Metropolitan Statistical Area)",2771244
